Отношение,Все опрошенные,Мужской,Женский,18-24 года,25-34 года,35-44 года,45-59 лет,60 лет и старше
Не встречал результаты работы нейросети / не использовал лично,64,62,67,30,47,61,71,81
"Картинки, созданные нейросетью / фотографии / изображения людей",19,21,17,42,37,24,11,3
Генерация текстов,5,5,5,17,7,6,2,0
Для учебы / проектные работы / контрольные работы,4,6,3,11,4,4,4,2
Алиса / голосовой помощник,2,3,1,2,5,2,2,1
Образы городов,2,1,3,0,3,3,3,0
Поисковые программы,2,3,1,2,3,2,1,1
Можно создать иллюзию / создать фейк / вводит в заблуждение,2,1,2,10,0,1,2,1
Банки и мобильные операторы используют ботов,2,2,1,2,2,2,1,1
Видеоролики,2,2,1,0,4,3,1,0
Сам использовал для развлечения,1,2,1,6,1,1,1,0
ChatGPT,1,2,1,3,3,2,1,0
Музыка,1,2,1,3,2,2,1,1
Дизайн проекты/интерьеры,1,0,1,1,2,0,0,0
Другое,1,2,1,2,2,2,0,1
Затрудняюсь ответить,7,6,8,10,5,4,6,10
